landscape,ignitionPoint,ignitionIndex,burnedOutCells
9,2,28748,0
9,3,8535,3
9,4,4759,4
9,5,16657,0
9,6,31273,89
9,7,26776,7
9,8,39113,4
9,9,12893,1
9,10,31446,1934
9,11,8486,4
9,12,24826,94
9,13,1858,2276
9,14,21295,0
9,15,11298,0
9,16,6011,2190
9,17,9168,188
9,18,19439,3
9,19,3844,1380
9,20,11591,2
9,21,25646,7
9,22,306,8
9,23,3612,2247
9,24,23201,65
9,25,3494,5
9,26,25062,8
9,27,12788,19
9,28,33993,5
9,29,5337,2
9,30,24526,3
9,31,3730,39
9,32,24666,5
9,33,23252,3
9,34,24050,5
9,35,14106,1
9,36,19203,2
9,37,33915,1
9,38,37415,3
9,39,4431,2268
9,40,24352,57
9,41,38242,1918
9,42,33910,2
9,43,6330,110
9,44,15604,2
9,45,19451,1
9,46,8684,5
9,47,32547,4
9,48,33605,5
9,49,17833,2
9,50,38398,27
9,51,37628,2168
9,52,25748,23
9,53,31219,26
9,54,36118,1
9,55,36126,0
9,56,16760,108
9,57,31572,0
9,58,31742,3
9,59,31978,1
9,60,4246,2251
9,61,22703,8
9,62,36776,21
9,63,37970,6
9,64,23999,1
9,65,7583,169
9,66,33559,2
9,67,13232,1
9,68,24870,4
9,69,38509,2
9,70,8238,60
9,71,33108,1
9,72,32700,0
9,73,19355,36
9,74,35539,2
9,75,4379,74
9,76,26346,1
9,77,8989,101
9,78,18176,57
9,79,11002,17
9,80,33642,2269
9,81,12583,11
9,82,21478,2
9,83,29018,104
9,84,26179,2
9,85,18465,2
9,86,14398,7
9,87,23966,3
9,88,671,2279
9,89,1016,2140
9,90,37421,30
9,91,34048,2168
9,92,18378,2
9,93,9230,2383
9,94,24146,2
9,95,12697,1
9,96,10953,2
9,97,11985,66
9,98,26672,13
9,99,25471,1
7,0,4236,1
7,1,9164,5
7,2,29485,1
7,3,38044,1
7,4,29380,4116
7,5,6254,2
7,6,7968,1
7,7,16649,1
7,8,38850,35
7,9,39534,2482
7,10,11200,1
7,11,13712,6851
7,12,38708,4390
7,13,28911,1
7,14,14495,1
7,15,9662,1
7,16,32961,4181
7,17,10738,1
7,18,31307,1
7,19,18279,1
7,20,17842,25
7,21,23924,1
7,22,18883,1
7,23,17051,1
7,24,38718,5165
7,25,22004,4508
7,26,25239,1
7,27,17400,5506
7,28,6576,7
7,29,9811,6717
7,30,20123,6759
7,31,18073,0
7,32,18679,1
7,33,23891,1
7,34,14535,3
7,35,16492,1
7,36,31818,1
7,37,37506,4675
7,38,25646,1
7,39,3234,5458
7,40,6325,79
7,41,8880,1
7,42,27673,1
7,43,18047,96
7,44,19333,2
7,45,34395,75
7,46,8512,330
7,47,38289,568
7,48,19276,1
7,49,20652,132
7,50,15012,6795
7,51,5245,3927
7,52,34194,4866
7,53,30170,2576
7,54,16844,67
7,55,6452,39
7,56,29208,4343
7,57,11565,7054
7,58,35226,1
7,59,17157,874
7,60,9674,6973
7,61,10525,9899
7,62,29896,1
7,63,2829,16
7,64,6272,1
7,65,9305,2
7,66,26820,3457
7,67,20105,1
7,68,4529,3893
7,69,29347,4506
7,70,12454,1
7,71,652,211
7,72,27637,6
7,73,29720,1
7,74,15114,1
7,75,24396,16
7,76,36980,5
7,77,14221,6126
7,78,30031,1
7,79,32598,1850
7,80,24176,44
7,81,25494,1
7,82,31787,2222
7,83,10786,6109
7,84,13997,4457
7,85,4256,7386
7,86,15208,4977
7,87,33601,845
7,88,32825,1
7,89,33598,1
7,90,9406,5102
7,91,818,33
7,92,29787,2405
7,93,17537,539
7,94,13326,2
7,95,31381,3845
7,96,3740,3493
7,97,39359,1
7,98,10745,1
7,99,28855,1
4,0,11862,0
4,1,31452,13
4,2,3303,3
4,3,15558,267
4,4,13767,13
4,5,20105,1
4,6,17911,9
4,7,9846,1
4,8,16462,1
4,9,8427,8
4,10,6692,0
4,11,19508,4
4,12,31552,76
4,13,39560,1312
4,14,28962,1
4,15,2052,11
4,16,8469,1
4,17,10476,6
4,18,2662,3
4,19,3148,2650
4,20,4075,1
4,21,39369,480
4,22,20022,0
4,23,14203,10
4,24,16739,444
4,25,17703,11
4,26,27033,6
4,27,16023,1
4,28,12969,208
4,29,7241,2
4,30,33582,32
4,31,35683,14
4,32,11794,4
4,33,36510,124
4,34,17945,666
4,35,937,1
4,36,36382,888
4,37,29025,3
4,38,5784,2284
4,39,3433,9
4,40,38428,2
4,41,33166,14
4,42,36595,4
4,43,36702,30
4,44,33261,1
4,45,31296,4
4,46,4306,1
4,47,28841,10
4,48,21664,1
4,49,35948,1381
4,50,23144,7
4,51,349,2546
4,52,19453,1
4,53,14580,3
4,54,12173,49
4,55,30182,11
4,56,28958,80
4,57,26409,14
4,58,28586,33
4,59,6294,1
4,60,886,1
4,61,25888,3
